,month,year,negativity,neutrality,positivity,sentiment,freq_words,std_sentiment
0,1,2021,0.2606112298,0.4061544654,0.3332343048,0.0726230749,"[['get', 10477], ['people', 9291], ['vaccine', 8211], ['like', 6836], ['i’m', 5938], ['got', 5740], ['it’s', 5399], ['new', 5248], ['one', 5038], ['still', 4325], ['don’t', 4047], ['go', 3959], ['would', 3919], ['us', 3845], ['know', 3795], ['back', 3668], ['first', 3662], ['-', 3660], ['going', 3644], ['getting', 3583]]",
1,2,2020,0.2450084602,0.4521150592,0.3028764805,0.0578680203,"[['people', 239], ['#coronavirus', 220], ['covid-19.', 199], ['virus', 192], ['us', 186], ['cases', 179], ['trump', 175], ['-', 173], ['get', 162], ['via', 157], ['health', 152], ['like', 144], ['#covid19', 133], ['china', 131], ['flu', 122], ['new', 120], ['19', 119], ['spread', 119], ['#covid', 115], ['it’s', 113]]",
2,2,2021,0.2605354313,0.4021905283,0.33727404040000003,0.07673860910000001,"[['get', 7169], ['vaccine', 6115], ['people', 5887], ['like', 4625], ['got', 3996], ['i’m', 3746], ['it’s', 3651], ['one', 3573], ['still', 3045], ['new', 2952], ['would', 2719], ['go', 2718], ['us', 2681], ['know', 2642], ['first', 2631], ['going', 2627], ['don’t', 2586], ['need', 2547], ['back', 2516], ['time', 2465]]",
3,3,2020,0.2683206866,0.41778497740000003,0.313894336,0.0455736494,"[['covid-19.', 12767], ['people', 12289], ['#coronavirus', 11621], ['get', 10604], ['like', 8529], ['-', 8503], ['us', 8043], ['new', 7459], ['#covid19', 7285], ['it’s', 7102], ['due', 7059], ['#covid', 6952], ['i’m', 6848], ['please', 6794], ['one', 6747], ['need', 6670], ['health', 6427], ['via', 6188], ['19', 6081], ['know', 6046]]",
4,3,2021,0.2638577379,0.4022132946,0.3339289675,0.0700712296,"[['get', 8994], ['vaccine', 8763], ['people', 6752], ['got', 5281], ['like', 5123], ['one', 4822], ['it’s', 4195], ['year', 4141], ['i’m', 4113], ['first', 4070], ['still', 3609], ['getting', 3411], ['relief', 3185], ['would', 3005], ['don’t', 2981], ['last', 2976], ['-', 2966], ['new', 2940], ['us', 2934], ['know', 2824]]",
5,4,2020,0.2749286002,0.4017135949,0.3233578049,0.0484292047,"[['people', 12902], ['covid-19.', 11029], ['get', 10255], ['#covid', 9951], ['new', 8941], ['like', 8740], ['us', 8113], ['-', 7816], ['one', 7633], ['#covid19', 7377], ['19', 6980], ['via', 6776], ['i’m', 6701], ['it’s', 6688], ['.', 6643], ['de', 6419], ['trump', 6278], ['need', 6240], ['#coronavirus', 6109], ['help', 5793]]",
6,4,2021,0.251616636,0.4121741202,0.3362092438,0.0845926077,"[['vaccine', 7177], ['get', 6802], ['people', 4955], ['got', 4456], ['like', 3832], ['i’m', 3096], ['one', 3069], ['it’s', 3012], ['de', 2862], ['getting', 2797], ['still', 2759], ['first', 2711], ['shot', 2612], ['new', 2360], ['-', 2295], ['year', 2164], ['don’t', 2130], ['last', 2094], ['know', 2047], ['would', 2041]]",
7,5,2020,0.27334226710000004,0.3983079581,0.3283497748,0.055007507600000005,"[['people', 10206], ['get', 7857], ['like', 6997], ['new', 6776], ['covid-19.', 6495], ['one', 5666], ['us', 5571], ['it’s', 5558], ['#covid', 5407], ['19', 5191], ['-', 5171], ['i’m', 4947], ['de', 4834], ['would', 4692], ['trump', 4634], ['via', 4225], ['due', 4215], ['#covid19', 4207], ['deaths', 4199], ['know', 4166]]",
8,5,2021,0.25439164400000003,0.40448444040000003,0.3411239156,0.08673227160000001,"[['vaccine', 5194], ['get', 5109], ['people', 4270], ['new', 3131], ['like', 2946], ['got', 2690], ['still', 2508], ['it’s', 2434], ['one', 2230], ['i’m', 2182], ['make', 2134], ['vaccinated', 1951], ['getting', 1897], ['year', 1882], ['de', 1809], ['last', 1791], ['us', 1743], ['back', 1718], ['first', 1683], ['-', 1655]]",
9,6,2020,0.2686319056,0.3845883896,0.34677970480000003,0.0781477993,"[['people', 10875], ['get', 8705], ['like', 6999], ['cases', 6381], ['it’s', 6143], ['new', 5859], ['i’m', 5185], ['one', 5162], ['still', 5104], ['covid-19.', 4923], ['trump', 4911], ['going', 4890], ['us', 4714], ['don’t', 4679], ['go', 4361], ['back', 4298], ['due', 4255], ['know', 4227], ['-', 4120], ['would', 4024]]",
10,6,2021,0.2618884707,0.3913217014,0.3467898278,0.0849013571,"[['get', 3739], ['people', 3187], ['vaccine', 2684], ['like', 2210], ['got', 1913], ['still', 1875], ['one', 1830], ['it’s', 1819], ['de', 1774], ['new', 1705], ['i’m', 1486], ['vaccinated', 1453], ['us', 1422], ['first', 1412], ['last', 1393], ['back', 1391], ['year', 1380], ['know', 1365], ['would', 1344], ['since', 1340]]",
11,7,2020,0.26147906330000004,0.38903885990000003,0.34948207670000003,0.0880030134,"[['people', 14334], ['get', 13587], ['like', 9922], ['it’s', 8555], ['one', 7814], ['trump', 7783], ['new', 7579], ['i’m', 7547], ['cases', 7422], ['us', 7318], ['don’t', 6805], ['going', 6720], ['covid-19.', 6690], ['go', 6533], ['would', 6439], ['back', 6406], ['know', 6396], ['positive', 6123], ['still', 6031], ['got', 5877]]",
12,7,2021,0.2603938391,0.3849489439,0.354657217,0.0942633779,"[['get', 9328], ['people', 8223], ['vaccine', 5188], ['vaccinated', 4766], ['like', 4391], ['it’s', 3647], ['still', 3600], ['got', 3527], ['one', 3119], ['getting', 3102], ['new', 3053], ['cases', 3010], ['i’m', 2932], ['don’t', 2869], ['know', 2858], ['would', 2600], ['covid,', 2471], ['back', 2461], ['going', 2431], ['us', 2347]]",
13,8,2020,0.2686256631,0.3895391247,0.3418352122,0.07320954910000001,"[['people', 10340], ['get', 9840], ['like', 7873], ['trump', 7129], ['it’s', 6651], ['one', 6004], ['i’m', 5957], ['new', 5496], ['would', 5477], ['us', 5115], ['go', 4851], ['going', 4835], ['back', 4712], ['still', 4691], ['don’t', 4667], ['due', 4667], ['know', 4522], ['covid-19.', 4425], ['got', 4359], ['-', 4257]]",
14,8,2021,0.2574148171,0.3849783791,0.3576068039,0.10019198680000001,"[['get', 15640], ['people', 13300], ['vaccine', 8282], ['like', 7536], ['vaccinated', 6239], ['it’s', 6111], ['got', 5912], ['one', 5757], ['don’t', 5291], ['i’m', 5217], ['still', 5169], ['getting', 4992], ['know', 4624], ['would', 4414], ['covid,', 4395], ['new', 4314], ['going', 4162], ['mask', 3895], ['us', 3886], ['go', 3810]]",
15,9,2020,0.2676287504,0.3919757411,0.3403955085,0.07276675810000001,"[['people', 9083], ['get', 7712], ['trump', 7509], ['like', 6283], ['it’s', 5516], ['one', 4831], ['i’m', 4653], ['would', 4647], ['us', 4523], ['still', 4296], ['new', 4240], ['don’t', 3969], ['know', 3944], ['due', 3805], ['go', 3783], ['going', 3657], ['got', 3609], ['back', 3550], ['-', 3433], ['deaths', 3423]]",
16,9,2021,0.2615269241,0.3806730679,0.357800008,0.09627308400000001,"[['get', 9921], ['people', 8579], ['vaccine', 6142], ['like', 5148], ['one', 4379], ['got', 4254], ['it’s', 4041], ['vaccinated', 3980], ['still', 3561], ['i’m', 3414], ['would', 3337], ['know', 3291], ['don’t', 3222], ['getting', 3215], ['covid,', 3139], ['new', 2839], ['last', 2687], ['us', 2603], ['many', 2547], ['going', 2533]]",
17,10,2020,0.2582804293,0.4079777834,0.33374178730000004,0.075461358,"[['trump', 23109], ['people', 14209], ['get', 13229], ['like', 10754], ['it’s', 8536], ['positive', 7885], ['one', 7772], ['would', 7597], ['don’t', 7542], ['got', 7326], ['i’m', 6640], ['us', 6290], ['know', 6260], ['still', 6124], ['covid,', 6099], ['going', 6036], ['think', 5848], ['president', 5844], ['new', 5833], ['covid-19.', 5743]]",
18,10,2021,0.2630989745,0.3907402595,0.346160766,0.0830617916,"[['get', 6206], ['people', 5166], ['vaccine', 4436], ['like', 3408], ['got', 3139], ['still', 2655], ['it’s', 2586], ['one', 2569], ['vaccinated', 2496], ['getting', 2279], ['i’m', 2250], ['know', 2134], ['new', 2043], ['covid,', 2026], ['would', 1991], ['last', 1975], ['don’t', 1952], ['died', 1906], ['us', 1807], ['-', 1655]]",
19,11,2020,0.2555851731,0.40611762840000004,0.3382971985,0.0827120254,"[['people', 15063], ['get', 13348], ['like', 10235], ['it’s', 8722], ['trump', 8532], ['i’m', 7708], ['one', 7350], ['new', 6761], ['don’t', 6724], ['would', 6638], ['still', 6557], ['go', 6416], ['going', 6407], ['got', 6403], ['cases', 6290], ['know', 5855], ['us', 5708], ['covid,', 5176], ['time', 5090], ['positive', 5059]]",
20,11,2021,0.2661396574,0.389641245,0.3442190976,0.0780794402,"[['get', 5537], ['people', 4291], ['vaccine', 3588], ['got', 3403], ['like', 3134], ['new', 2446], ['it’s', 2414], ['i’m', 2334], ['still', 2310], ['one', 2296], ['vaccinated', 2214], ['getting', 2105], ['would', 1881], ['know', 1827], ['covid,', 1780], ['last', 1776], ['don’t', 1711], ['booster', 1698], ['us', 1667], ['year', 1656]]",
21,12,2020,0.254543357,0.41002185150000003,0.3354347915,0.0808914345,"[['get', 14411], ['people', 13811], ['vaccine', 11941], ['like', 9253], ['i’m', 7992], ['it’s', 7665], ['one', 7310], ['got', 7290], ['new', 6693], ['don’t', 6382], ['us', 6008], ['would', 5831], ['trump', 5508], ['know', 5484], ['-', 5440], ['still', 5420], ['go', 5219], ['first', 5073], ['going', 5040], ['getting', 4930]]",
22,12,2021,0.2534811286,0.4170534587,0.3294654126,0.075984284,"[['get', 12147], ['people', 9418], ['like', 7241], ['got', 6975], ['i’m', 5607], ['it’s', 5472], ['still', 4869], ['test', 4841], ['new', 4816], ['one', 4675], ['getting', 4429], ['know', 4054], ['going', 4000], ['don’t', 3955], ['covid,', 3907], ['vaccine', 3888], ['positive', 3871], ['vaccinated', 3675], ['would', 3622], ['go', 3485]]",
