month,year,negativity,neutrality,positivity,sentiment,freq_words,std_sentiment,freq_word_list
1,2021,0.2606112298,0.4061544654,0.3332343048,0.0726230749,"[['get', 10477], ['people', 9291], ['vaccine', 8211], ['like', 6836], ['i’m', 5938], ['got', 5740], ['it’s', 5399], ['new', 5248], ['one', 5038], ['still', 4325], ['don’t', 4047], ['go', 3959], ['would', 3919], ['us', 3845], ['know', 3795], ['back', 3668], ['first', 3662], ['-', 3660], ['going', 3644], ['getting', 3583]]",,"[{'text': 'get', 'size': 10477}, {'text': 'people', 'size': 9291}, {'text': 'vaccine', 'size': 8211}, {'text': 'like', 'size': 6836}, {'text': 'i’m', 'size': 5938}, {'text': 'got', 'size': 5740}, {'text': 'it’s', 'size': 5399}, {'text': 'new', 'size': 5248}, {'text': 'one', 'size': 5038}, {'text': 'still', 'size': 4325}, {'text': 'don’t', 'size': 4047}, {'text': 'go', 'size': 3959}, {'text': 'would', 'size': 3919}, {'text': 'us', 'size': 3845}, {'text': 'know', 'size': 3795}, {'text': 'back', 'size': 3668}, {'text': 'first', 'size': 3662}, {'text': '-', 'size': 3660}, {'text': 'going', 'size': 3644}, {'text': 'getting', 'size': 3583}]"
2,2020,0.2450084602,0.4521150592,0.3028764805,0.0578680203,"[['people', 239], ['#coronavirus', 220], ['covid-19.', 199], ['virus', 192], ['us', 186], ['cases', 179], ['trump', 175], ['-', 173], ['get', 162], ['via', 157], ['health', 152], ['like', 144], ['#covid19', 133], ['china', 131], ['flu', 122], ['new', 120], ['19', 119], ['spread', 119], ['#covid', 115], ['it’s', 113]]",,"[{'text': 'people', 'size': 239}, {'text': '#coronavirus', 'size': 220}, {'text': 'covid-19.', 'size': 199}, {'text': 'virus', 'size': 192}, {'text': 'us', 'size': 186}, {'text': 'cases', 'size': 179}, {'text': 'trump', 'size': 175}, {'text': '-', 'size': 173}, {'text': 'get', 'size': 162}, {'text': 'via', 'size': 157}, {'text': 'health', 'size': 152}, {'text': 'like', 'size': 144}, {'text': '#covid19', 'size': 133}, {'text': 'china', 'size': 131}, {'text': 'flu', 'size': 122}, {'text': 'new', 'size': 120}, {'text': '19', 'size': 119}, {'text': 'spread', 'size': 119}, {'text': '#covid', 'size': 115}, {'text': 'it’s', 'size': 113}]"
2,2021,0.2605354313,0.4021905283,0.33727404040000003,0.07673860910000001,"[['get', 7169], ['vaccine', 6115], ['people', 5887], ['like', 4625], ['got', 3996], ['i’m', 3746], ['it’s', 3651], ['one', 3573], ['still', 3045], ['new', 2952], ['would', 2719], ['go', 2718], ['us', 2681], ['know', 2642], ['first', 2631], ['going', 2627], ['don’t', 2586], ['need', 2547], ['back', 2516], ['time', 2465]]",,"[{'text': 'get', 'size': 7169}, {'text': 'vaccine', 'size': 6115}, {'text': 'people', 'size': 5887}, {'text': 'like', 'size': 4625}, {'text': 'got', 'size': 3996}, {'text': 'i’m', 'size': 3746}, {'text': 'it’s', 'size': 3651}, {'text': 'one', 'size': 3573}, {'text': 'still', 'size': 3045}, {'text': 'new', 'size': 2952}, {'text': 'would', 'size': 2719}, {'text': 'go', 'size': 2718}, {'text': 'us', 'size': 2681}, {'text': 'know', 'size': 2642}, {'text': 'first', 'size': 2631}, {'text': 'going', 'size': 2627}, {'text': 'don’t', 'size': 2586}, {'text': 'need', 'size': 2547}, {'text': 'back', 'size': 2516}, {'text': 'time', 'size': 2465}]"
3,2020,0.2683206866,0.41778497740000003,0.313894336,0.0455736494,"[['covid-19.', 12767], ['people', 12289], ['#coronavirus', 11621], ['get', 10604], ['like', 8529], ['-', 8503], ['us', 8043], ['new', 7459], ['#covid19', 7285], ['it’s', 7102], ['due', 7059], ['#covid', 6952], ['i’m', 6848], ['please', 6794], ['one', 6747], ['need', 6670], ['health', 6427], ['via', 6188], ['19', 6081], ['know', 6046]]",,"[{'text': 'covid-19.', 'size': 12767}, {'text': 'people', 'size': 12289}, {'text': '#coronavirus', 'size': 11621}, {'text': 'get', 'size': 10604}, {'text': 'like', 'size': 8529}, {'text': '-', 'size': 8503}, {'text': 'us', 'size': 8043}, {'text': 'new', 'size': 7459}, {'text': '#covid19', 'size': 7285}, {'text': 'it’s', 'size': 7102}, {'text': 'due', 'size': 7059}, {'text': '#covid', 'size': 6952}, {'text': 'i’m', 'size': 6848}, {'text': 'please', 'size': 6794}, {'text': 'one', 'size': 6747}, {'text': 'need', 'size': 6670}, {'text': 'health', 'size': 6427}, {'text': 'via', 'size': 6188}, {'text': '19', 'size': 6081}, {'text': 'know', 'size': 6046}]"
3,2021,0.2638577379,0.4022132946,0.3339289675,0.0700712296,"[['get', 8994], ['vaccine', 8763], ['people', 6752], ['got', 5281], ['like', 5123], ['one', 4822], ['it’s', 4195], ['year', 4141], ['i’m', 4113], ['first', 4070], ['still', 3609], ['getting', 3411], ['relief', 3185], ['would', 3005], ['don’t', 2981], ['last', 2976], ['-', 2966], ['new', 2940], ['us', 2934], ['know', 2824]]",,"[{'text': 'get', 'size': 8994}, {'text': 'vaccine', 'size': 8763}, {'text': 'people', 'size': 6752}, {'text': 'got', 'size': 5281}, {'text': 'like', 'size': 5123}, {'text': 'one', 'size': 4822}, {'text': 'it’s', 'size': 4195}, {'text': 'year', 'size': 4141}, {'text': 'i’m', 'size': 4113}, {'text': 'first', 'size': 4070}, {'text': 'still', 'size': 3609}, {'text': 'getting', 'size': 3411}, {'text': 'relief', 'size': 3185}, {'text': 'would', 'size': 3005}, {'text': 'don’t', 'size': 2981}, {'text': 'last', 'size': 2976}, {'text': '-', 'size': 2966}, {'text': 'new', 'size': 2940}, {'text': 'us', 'size': 2934}, {'text': 'know', 'size': 2824}]"
4,2020,0.2749286002,0.4017135949,0.3233578049,0.0484292047,"[['people', 12902], ['covid-19.', 11029], ['get', 10255], ['#covid', 9951], ['new', 8941], ['like', 8740], ['us', 8113], ['-', 7816], ['one', 7633], ['#covid19', 7377], ['19', 6980], ['via', 6776], ['i’m', 6701], ['it’s', 6688], ['.', 6643], ['de', 6419], ['trump', 6278], ['need', 6240], ['#coronavirus', 6109], ['help', 5793]]",,"[{'text': 'people', 'size': 12902}, {'text': 'covid-19.', 'size': 11029}, {'text': 'get', 'size': 10255}, {'text': '#covid', 'size': 9951}, {'text': 'new', 'size': 8941}, {'text': 'like', 'size': 8740}, {'text': 'us', 'size': 8113}, {'text': '-', 'size': 7816}, {'text': 'one', 'size': 7633}, {'text': '#covid19', 'size': 7377}, {'text': '19', 'size': 6980}, {'text': 'via', 'size': 6776}, {'text': 'i’m', 'size': 6701}, {'text': 'it’s', 'size': 6688}, {'text': '.', 'size': 6643}, {'text': 'de', 'size': 6419}, {'text': 'trump', 'size': 6278}, {'text': 'need', 'size': 6240}, {'text': '#coronavirus', 'size': 6109}, {'text': 'help', 'size': 5793}]"
4,2021,0.251616636,0.4121741202,0.3362092438,0.0845926077,"[['vaccine', 7177], ['get', 6802], ['people', 4955], ['got', 4456], ['like', 3832], ['i’m', 3096], ['one', 3069], ['it’s', 3012], ['de', 2862], ['getting', 2797], ['still', 2759], ['first', 2711], ['shot', 2612], ['new', 2360], ['-', 2295], ['year', 2164], ['don’t', 2130], ['last', 2094], ['know', 2047], ['would', 2041]]",,"[{'text': 'vaccine', 'size': 7177}, {'text': 'get', 'size': 6802}, {'text': 'people', 'size': 4955}, {'text': 'got', 'size': 4456}, {'text': 'like', 'size': 3832}, {'text': 'i’m', 'size': 3096}, {'text': 'one', 'size': 3069}, {'text': 'it’s', 'size': 3012}, {'text': 'de', 'size': 2862}, {'text': 'getting', 'size': 2797}, {'text': 'still', 'size': 2759}, {'text': 'first', 'size': 2711}, {'text': 'shot', 'size': 2612}, {'text': 'new', 'size': 2360}, {'text': '-', 'size': 2295}, {'text': 'year', 'size': 2164}, {'text': 'don’t', 'size': 2130}, {'text': 'last', 'size': 2094}, {'text': 'know', 'size': 2047}, {'text': 'would', 'size': 2041}]"
5,2020,0.27334226710000004,0.3983079581,0.3283497748,0.055007507600000005,"[['people', 10206], ['get', 7857], ['like', 6997], ['new', 6776], ['covid-19.', 6495], ['one', 5666], ['us', 5571], ['it’s', 5558], ['#covid', 5407], ['19', 5191], ['-', 5171], ['i’m', 4947], ['de', 4834], ['would', 4692], ['trump', 4634], ['via', 4225], ['due', 4215], ['#covid19', 4207], ['deaths', 4199], ['know', 4166]]",,"[{'text': 'people', 'size': 10206}, {'text': 'get', 'size': 7857}, {'text': 'like', 'size': 6997}, {'text': 'new', 'size': 6776}, {'text': 'covid-19.', 'size': 6495}, {'text': 'one', 'size': 5666}, {'text': 'us', 'size': 5571}, {'text': 'it’s', 'size': 5558}, {'text': '#covid', 'size': 5407}, {'text': '19', 'size': 5191}, {'text': '-', 'size': 5171}, {'text': 'i’m', 'size': 4947}, {'text': 'de', 'size': 4834}, {'text': 'would', 'size': 4692}, {'text': 'trump', 'size': 4634}, {'text': 'via', 'size': 4225}, {'text': 'due', 'size': 4215}, {'text': '#covid19', 'size': 4207}, {'text': 'deaths', 'size': 4199}, {'text': 'know', 'size': 4166}]"
5,2021,0.25439164400000003,0.40448444040000003,0.3411239156,0.08673227160000001,"[['vaccine', 5194], ['get', 5109], ['people', 4270], ['new', 3131], ['like', 2946], ['got', 2690], ['still', 2508], ['it’s', 2434], ['one', 2230], ['i’m', 2182], ['make', 2134], ['vaccinated', 1951], ['getting', 1897], ['year', 1882], ['de', 1809], ['last', 1791], ['us', 1743], ['back', 1718], ['first', 1683], ['-', 1655]]",,"[{'text': 'vaccine', 'size': 5194}, {'text': 'get', 'size': 5109}, {'text': 'people', 'size': 4270}, {'text': 'new', 'size': 3131}, {'text': 'like', 'size': 2946}, {'text': 'got', 'size': 2690}, {'text': 'still', 'size': 2508}, {'text': 'it’s', 'size': 2434}, {'text': 'one', 'size': 2230}, {'text': 'i’m', 'size': 2182}, {'text': 'make', 'size': 2134}, {'text': 'vaccinated', 'size': 1951}, {'text': 'getting', 'size': 1897}, {'text': 'year', 'size': 1882}, {'text': 'de', 'size': 1809}, {'text': 'last', 'size': 1791}, {'text': 'us', 'size': 1743}, {'text': 'back', 'size': 1718}, {'text': 'first', 'size': 1683}, {'text': '-', 'size': 1655}]"
6,2020,0.2686319056,0.3845883896,0.34677970480000003,0.0781477993,"[['people', 10875], ['get', 8705], ['like', 6999], ['cases', 6381], ['it’s', 6143], ['new', 5859], ['i’m', 5185], ['one', 5162], ['still', 5104], ['covid-19.', 4923], ['trump', 4911], ['going', 4890], ['us', 4714], ['don’t', 4679], ['go', 4361], ['back', 4298], ['due', 4255], ['know', 4227], ['-', 4120], ['would', 4024]]",,"[{'text': 'people', 'size': 10875}, {'text': 'get', 'size': 8705}, {'text': 'like', 'size': 6999}, {'text': 'cases', 'size': 6381}, {'text': 'it’s', 'size': 6143}, {'text': 'new', 'size': 5859}, {'text': 'i’m', 'size': 5185}, {'text': 'one', 'size': 5162}, {'text': 'still', 'size': 5104}, {'text': 'covid-19.', 'size': 4923}, {'text': 'trump', 'size': 4911}, {'text': 'going', 'size': 4890}, {'text': 'us', 'size': 4714}, {'text': 'don’t', 'size': 4679}, {'text': 'go', 'size': 4361}, {'text': 'back', 'size': 4298}, {'text': 'due', 'size': 4255}, {'text': 'know', 'size': 4227}, {'text': '-', 'size': 4120}, {'text': 'would', 'size': 4024}]"
6,2021,0.2618884707,0.3913217014,0.3467898278,0.0849013571,"[['get', 3739], ['people', 3187], ['vaccine', 2684], ['like', 2210], ['got', 1913], ['still', 1875], ['one', 1830], ['it’s', 1819], ['de', 1774], ['new', 1705], ['i’m', 1486], ['vaccinated', 1453], ['us', 1422], ['first', 1412], ['last', 1393], ['back', 1391], ['year', 1380], ['know', 1365], ['would', 1344], ['since', 1340]]",,"[{'text': 'get', 'size': 3739}, {'text': 'people', 'size': 3187}, {'text': 'vaccine', 'size': 2684}, {'text': 'like', 'size': 2210}, {'text': 'got', 'size': 1913}, {'text': 'still', 'size': 1875}, {'text': 'one', 'size': 1830}, {'text': 'it’s', 'size': 1819}, {'text': 'de', 'size': 1774}, {'text': 'new', 'size': 1705}, {'text': 'i’m', 'size': 1486}, {'text': 'vaccinated', 'size': 1453}, {'text': 'us', 'size': 1422}, {'text': 'first', 'size': 1412}, {'text': 'last', 'size': 1393}, {'text': 'back', 'size': 1391}, {'text': 'year', 'size': 1380}, {'text': 'know', 'size': 1365}, {'text': 'would', 'size': 1344}, {'text': 'since', 'size': 1340}]"
7,2020,0.26147906330000004,0.38903885990000003,0.34948207670000003,0.0880030134,"[['people', 14334], ['get', 13587], ['like', 9922], ['it’s', 8555], ['one', 7814], ['trump', 7783], ['new', 7579], ['i’m', 7547], ['cases', 7422], ['us', 7318], ['don’t', 6805], ['going', 6720], ['covid-19.', 6690], ['go', 6533], ['would', 6439], ['back', 6406], ['know', 6396], ['positive', 6123], ['still', 6031], ['got', 5877]]",,"[{'text': 'people', 'size': 14334}, {'text': 'get', 'size': 13587}, {'text': 'like', 'size': 9922}, {'text': 'it’s', 'size': 8555}, {'text': 'one', 'size': 7814}, {'text': 'trump', 'size': 7783}, {'text': 'new', 'size': 7579}, {'text': 'i’m', 'size': 7547}, {'text': 'cases', 'size': 7422}, {'text': 'us', 'size': 7318}, {'text': 'don’t', 'size': 6805}, {'text': 'going', 'size': 6720}, {'text': 'covid-19.', 'size': 6690}, {'text': 'go', 'size': 6533}, {'text': 'would', 'size': 6439}, {'text': 'back', 'size': 6406}, {'text': 'know', 'size': 6396}, {'text': 'positive', 'size': 6123}, {'text': 'still', 'size': 6031}, {'text': 'got', 'size': 5877}]"
7,2021,0.2603938391,0.3849489439,0.354657217,0.0942633779,"[['get', 9328], ['people', 8223], ['vaccine', 5188], ['vaccinated', 4766], ['like', 4391], ['it’s', 3647], ['still', 3600], ['got', 3527], ['one', 3119], ['getting', 3102], ['new', 3053], ['cases', 3010], ['i’m', 2932], ['don’t', 2869], ['know', 2858], ['would', 2600], ['covid,', 2471], ['back', 2461], ['going', 2431], ['us', 2347]]",,"[{'text': 'get', 'size': 9328}, {'text': 'people', 'size': 8223}, {'text': 'vaccine', 'size': 5188}, {'text': 'vaccinated', 'size': 4766}, {'text': 'like', 'size': 4391}, {'text': 'it’s', 'size': 3647}, {'text': 'still', 'size': 3600}, {'text': 'got', 'size': 3527}, {'text': 'one', 'size': 3119}, {'text': 'getting', 'size': 3102}, {'text': 'new', 'size': 3053}, {'text': 'cases', 'size': 3010}, {'text': 'i’m', 'size': 2932}, {'text': 'don’t', 'size': 2869}, {'text': 'know', 'size': 2858}, {'text': 'would', 'size': 2600}, {'text': 'covid,', 'size': 2471}, {'text': 'back', 'size': 2461}, {'text': 'going', 'size': 2431}, {'text': 'us', 'size': 2347}]"
8,2020,0.2686256631,0.3895391247,0.3418352122,0.07320954910000001,"[['people', 10340], ['get', 9840], ['like', 7873], ['trump', 7129], ['it’s', 6651], ['one', 6004], ['i’m', 5957], ['new', 5496], ['would', 5477], ['us', 5115], ['go', 4851], ['going', 4835], ['back', 4712], ['still', 4691], ['don’t', 4667], ['due', 4667], ['know', 4522], ['covid-19.', 4425], ['got', 4359], ['-', 4257]]",,"[{'text': 'people', 'size': 10340}, {'text': 'get', 'size': 9840}, {'text': 'like', 'size': 7873}, {'text': 'trump', 'size': 7129}, {'text': 'it’s', 'size': 6651}, {'text': 'one', 'size': 6004}, {'text': 'i’m', 'size': 5957}, {'text': 'new', 'size': 5496}, {'text': 'would', 'size': 5477}, {'text': 'us', 'size': 5115}, {'text': 'go', 'size': 4851}, {'text': 'going', 'size': 4835}, {'text': 'back', 'size': 4712}, {'text': 'still', 'size': 4691}, {'text': 'don’t', 'size': 4667}, {'text': 'due', 'size': 4667}, {'text': 'know', 'size': 4522}, {'text': 'covid-19.', 'size': 4425}, {'text': 'got', 'size': 4359}, {'text': '-', 'size': 4257}]"
8,2021,0.2574148171,0.3849783791,0.3576068039,0.10019198680000001,"[['get', 15640], ['people', 13300], ['vaccine', 8282], ['like', 7536], ['vaccinated', 6239], ['it’s', 6111], ['got', 5912], ['one', 5757], ['don’t', 5291], ['i’m', 5217], ['still', 5169], ['getting', 4992], ['know', 4624], ['would', 4414], ['covid,', 4395], ['new', 4314], ['going', 4162], ['mask', 3895], ['us', 3886], ['go', 3810]]",,"[{'text': 'get', 'size': 15640}, {'text': 'people', 'size': 13300}, {'text': 'vaccine', 'size': 8282}, {'text': 'like', 'size': 7536}, {'text': 'vaccinated', 'size': 6239}, {'text': 'it’s', 'size': 6111}, {'text': 'got', 'size': 5912}, {'text': 'one', 'size': 5757}, {'text': 'don’t', 'size': 5291}, {'text': 'i’m', 'size': 5217}, {'text': 'still', 'size': 5169}, {'text': 'getting', 'size': 4992}, {'text': 'know', 'size': 4624}, {'text': 'would', 'size': 4414}, {'text': 'covid,', 'size': 4395}, {'text': 'new', 'size': 4314}, {'text': 'going', 'size': 4162}, {'text': 'mask', 'size': 3895}, {'text': 'us', 'size': 3886}, {'text': 'go', 'size': 3810}]"
9,2020,0.2676287504,0.3919757411,0.3403955085,0.07276675810000001,"[['people', 9083], ['get', 7712], ['trump', 7509], ['like', 6283], ['it’s', 5516], ['one', 4831], ['i’m', 4653], ['would', 4647], ['us', 4523], ['still', 4296], ['new', 4240], ['don’t', 3969], ['know', 3944], ['due', 3805], ['go', 3783], ['going', 3657], ['got', 3609], ['back', 3550], ['-', 3433], ['deaths', 3423]]",,"[{'text': 'people', 'size': 9083}, {'text': 'get', 'size': 7712}, {'text': 'trump', 'size': 7509}, {'text': 'like', 'size': 6283}, {'text': 'it’s', 'size': 5516}, {'text': 'one', 'size': 4831}, {'text': 'i’m', 'size': 4653}, {'text': 'would', 'size': 4647}, {'text': 'us', 'size': 4523}, {'text': 'still', 'size': 4296}, {'text': 'new', 'size': 4240}, {'text': 'don’t', 'size': 3969}, {'text': 'know', 'size': 3944}, {'text': 'due', 'size': 3805}, {'text': 'go', 'size': 3783}, {'text': 'going', 'size': 3657}, {'text': 'got', 'size': 3609}, {'text': 'back', 'size': 3550}, {'text': '-', 'size': 3433}, {'text': 'deaths', 'size': 3423}]"
9,2021,0.2615269241,0.3806730679,0.357800008,0.09627308400000001,"[['get', 9921], ['people', 8579], ['vaccine', 6142], ['like', 5148], ['one', 4379], ['got', 4254], ['it’s', 4041], ['vaccinated', 3980], ['still', 3561], ['i’m', 3414], ['would', 3337], ['know', 3291], ['don’t', 3222], ['getting', 3215], ['covid,', 3139], ['new', 2839], ['last', 2687], ['us', 2603], ['many', 2547], ['going', 2533]]",,"[{'text': 'get', 'size': 9921}, {'text': 'people', 'size': 8579}, {'text': 'vaccine', 'size': 6142}, {'text': 'like', 'size': 5148}, {'text': 'one', 'size': 4379}, {'text': 'got', 'size': 4254}, {'text': 'it’s', 'size': 4041}, {'text': 'vaccinated', 'size': 3980}, {'text': 'still', 'size': 3561}, {'text': 'i’m', 'size': 3414}, {'text': 'would', 'size': 3337}, {'text': 'know', 'size': 3291}, {'text': 'don’t', 'size': 3222}, {'text': 'getting', 'size': 3215}, {'text': 'covid,', 'size': 3139}, {'text': 'new', 'size': 2839}, {'text': 'last', 'size': 2687}, {'text': 'us', 'size': 2603}, {'text': 'many', 'size': 2547}, {'text': 'going', 'size': 2533}]"
10,2020,0.2582804293,0.4079777834,0.33374178730000004,0.075461358,"[['trump', 23109], ['people', 14209], ['get', 13229], ['like', 10754], ['it’s', 8536], ['positive', 7885], ['one', 7772], ['would', 7597], ['don’t', 7542], ['got', 7326], ['i’m', 6640], ['us', 6290], ['know', 6260], ['still', 6124], ['covid,', 6099], ['going', 6036], ['think', 5848], ['president', 5844], ['new', 5833], ['covid-19.', 5743]]",,"[{'text': 'trump', 'size': 23109}, {'text': 'people', 'size': 14209}, {'text': 'get', 'size': 13229}, {'text': 'like', 'size': 10754}, {'text': 'it’s', 'size': 8536}, {'text': 'positive', 'size': 7885}, {'text': 'one', 'size': 7772}, {'text': 'would', 'size': 7597}, {'text': 'don’t', 'size': 7542}, {'text': 'got', 'size': 7326}, {'text': 'i’m', 'size': 6640}, {'text': 'us', 'size': 6290}, {'text': 'know', 'size': 6260}, {'text': 'still', 'size': 6124}, {'text': 'covid,', 'size': 6099}, {'text': 'going', 'size': 6036}, {'text': 'think', 'size': 5848}, {'text': 'president', 'size': 5844}, {'text': 'new', 'size': 5833}, {'text': 'covid-19.', 'size': 5743}]"
10,2021,0.2630989745,0.3907402595,0.346160766,0.0830617916,"[['get', 6206], ['people', 5166], ['vaccine', 4436], ['like', 3408], ['got', 3139], ['still', 2655], ['it’s', 2586], ['one', 2569], ['vaccinated', 2496], ['getting', 2279], ['i’m', 2250], ['know', 2134], ['new', 2043], ['covid,', 2026], ['would', 1991], ['last', 1975], ['don’t', 1952], ['died', 1906], ['us', 1807], ['-', 1655]]",,"[{'text': 'get', 'size': 6206}, {'text': 'people', 'size': 5166}, {'text': 'vaccine', 'size': 4436}, {'text': 'like', 'size': 3408}, {'text': 'got', 'size': 3139}, {'text': 'still', 'size': 2655}, {'text': 'it’s', 'size': 2586}, {'text': 'one', 'size': 2569}, {'text': 'vaccinated', 'size': 2496}, {'text': 'getting', 'size': 2279}, {'text': 'i’m', 'size': 2250}, {'text': 'know', 'size': 2134}, {'text': 'new', 'size': 2043}, {'text': 'covid,', 'size': 2026}, {'text': 'would', 'size': 1991}, {'text': 'last', 'size': 1975}, {'text': 'don’t', 'size': 1952}, {'text': 'died', 'size': 1906}, {'text': 'us', 'size': 1807}, {'text': '-', 'size': 1655}]"
11,2020,0.2555851731,0.40611762840000004,0.3382971985,0.0827120254,"[['people', 15063], ['get', 13348], ['like', 10235], ['it’s', 8722], ['trump', 8532], ['i’m', 7708], ['one', 7350], ['new', 6761], ['don’t', 6724], ['would', 6638], ['still', 6557], ['go', 6416], ['going', 6407], ['got', 6403], ['cases', 6290], ['know', 5855], ['us', 5708], ['covid,', 5176], ['time', 5090], ['positive', 5059]]",,"[{'text': 'people', 'size': 15063}, {'text': 'get', 'size': 13348}, {'text': 'like', 'size': 10235}, {'text': 'it’s', 'size': 8722}, {'text': 'trump', 'size': 8532}, {'text': 'i’m', 'size': 7708}, {'text': 'one', 'size': 7350}, {'text': 'new', 'size': 6761}, {'text': 'don’t', 'size': 6724}, {'text': 'would', 'size': 6638}, {'text': 'still', 'size': 6557}, {'text': 'go', 'size': 6416}, {'text': 'going', 'size': 6407}, {'text': 'got', 'size': 6403}, {'text': 'cases', 'size': 6290}, {'text': 'know', 'size': 5855}, {'text': 'us', 'size': 5708}, {'text': 'covid,', 'size': 5176}, {'text': 'time', 'size': 5090}, {'text': 'positive', 'size': 5059}]"
11,2021,0.2661396574,0.389641245,0.3442190976,0.0780794402,"[['get', 5537], ['people', 4291], ['vaccine', 3588], ['got', 3403], ['like', 3134], ['new', 2446], ['it’s', 2414], ['i’m', 2334], ['still', 2310], ['one', 2296], ['vaccinated', 2214], ['getting', 2105], ['would', 1881], ['know', 1827], ['covid,', 1780], ['last', 1776], ['don’t', 1711], ['booster', 1698], ['us', 1667], ['year', 1656]]",,"[{'text': 'get', 'size': 5537}, {'text': 'people', 'size': 4291}, {'text': 'vaccine', 'size': 3588}, {'text': 'got', 'size': 3403}, {'text': 'like', 'size': 3134}, {'text': 'new', 'size': 2446}, {'text': 'it’s', 'size': 2414}, {'text': 'i’m', 'size': 2334}, {'text': 'still', 'size': 2310}, {'text': 'one', 'size': 2296}, {'text': 'vaccinated', 'size': 2214}, {'text': 'getting', 'size': 2105}, {'text': 'would', 'size': 1881}, {'text': 'know', 'size': 1827}, {'text': 'covid,', 'size': 1780}, {'text': 'last', 'size': 1776}, {'text': 'don’t', 'size': 1711}, {'text': 'booster', 'size': 1698}, {'text': 'us', 'size': 1667}, {'text': 'year', 'size': 1656}]"
12,2020,0.254543357,0.41002185150000003,0.3354347915,0.0808914345,"[['get', 14411], ['people', 13811], ['vaccine', 11941], ['like', 9253], ['i’m', 7992], ['it’s', 7665], ['one', 7310], ['got', 7290], ['new', 6693], ['don’t', 6382], ['us', 6008], ['would', 5831], ['trump', 5508], ['know', 5484], ['-', 5440], ['still', 5420], ['go', 5219], ['first', 5073], ['going', 5040], ['getting', 4930]]",,"[{'text': 'get', 'size': 14411}, {'text': 'people', 'size': 13811}, {'text': 'vaccine', 'size': 11941}, {'text': 'like', 'size': 9253}, {'text': 'i’m', 'size': 7992}, {'text': 'it’s', 'size': 7665}, {'text': 'one', 'size': 7310}, {'text': 'got', 'size': 7290}, {'text': 'new', 'size': 6693}, {'text': 'don’t', 'size': 6382}, {'text': 'us', 'size': 6008}, {'text': 'would', 'size': 5831}, {'text': 'trump', 'size': 5508}, {'text': 'know', 'size': 5484}, {'text': '-', 'size': 5440}, {'text': 'still', 'size': 5420}, {'text': 'go', 'size': 5219}, {'text': 'first', 'size': 5073}, {'text': 'going', 'size': 5040}, {'text': 'getting', 'size': 4930}]"
12,2021,0.2534811286,0.4170534587,0.3294654126,0.075984284,"[['get', 12147], ['people', 9418], ['like', 7241], ['got', 6975], ['i’m', 5607], ['it’s', 5472], ['still', 4869], ['test', 4841], ['new', 4816], ['one', 4675], ['getting', 4429], ['know', 4054], ['going', 4000], ['don’t', 3955], ['covid,', 3907], ['vaccine', 3888], ['positive', 3871], ['vaccinated', 3675], ['would', 3622], ['go', 3485]]",,"[{'text': 'get', 'size': 12147}, {'text': 'people', 'size': 9418}, {'text': 'like', 'size': 7241}, {'text': 'got', 'size': 6975}, {'text': 'i’m', 'size': 5607}, {'text': 'it’s', 'size': 5472}, {'text': 'still', 'size': 4869}, {'text': 'test', 'size': 4841}, {'text': 'new', 'size': 4816}, {'text': 'one', 'size': 4675}, {'text': 'getting', 'size': 4429}, {'text': 'know', 'size': 4054}, {'text': 'going', 'size': 4000}, {'text': 'don’t', 'size': 3955}, {'text': 'covid,', 'size': 3907}, {'text': 'vaccine', 'size': 3888}, {'text': 'positive', 'size': 3871}, {'text': 'vaccinated', 'size': 3675}, {'text': 'would', 'size': 3622}, {'text': 'go', 'size': 3485}]"
